User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
1,56,Male,2.61,7.15,24,4.43,0.55,2.4,Los Angeles
2,46,Male,2.13,13.79,18,4.67,4.42,2.43,Chicago
3,32,Female,7.28,4.5,11,4.58,1.71,2.83,Houston
4,25,Female,1.2,6.29,21,3.18,3.42,4.58,Phoenix
5,38,Male,6.31,12.59,14,3.15,0.13,4.0,New York
6,56,Female,3.31,1.04,21,2.02,3.45,2.26,Chicago
7,36,Male,4.81,1.52,24,3.76,1.58,3.59,Los Angeles
8,40,Male,9.53,8.85,11,2.66,0.28,2.93,Chicago
9,28,Male,11.35,12.8,9,3.39,3.05,2.46,Phoenix
10,28,Male,1.8,4.11,16,2.14,1.2,0.96,New York
11,41,Female,6.88,7.11,21,3.66,1.93,2.32,Chicago
12,53,Female,10.71,6.86,21,4.12,0.4,1.23,Phoenix
13,57,Female,1.91,7.15,4,0.73,0.74,4.57,Los Angeles
14,41,Male,10.07,9.09,11,4.16,1.49,1.68,Houston
15,20,Male,4.94,7.11,15,2.7,0.45,4.76,Los Angeles
16,39,Male,4.54,6.82,17,4.22,4.55,2.67,New York
17,19,Female,11.75,7.17,5,2.16,0.03,3.16,Los Angeles
18,41,Male,3.21,8.68,13,1.9,2.42,2.71,Los Angeles
19,47,Female,8.63,7.98,23,4.58,0.62,0.65,Los Angeles
20,55,Female,10.04,12.1,16,1.26,1.54,1.88,Los Angeles
21,19,Female,1.45,1.64,27,4.22,4.63,0.5,New York
22,38,Female,8.37,11.83,10,2.42,0.81,3.11,Phoenix
23,50,Female,11.47,11.97,20,2.57,4.83,2.23,Chicago
24,29,Female,2.37,4.7,21,1.54,1.03,3.89,Houston
25,39,Male,10.86,7.02,18,2.87,3.71,1.1,Chicago
26,42,Male,7.54,6.7,4,1.63,2.73,0.82,Chicago
27,44,Female,7.78,3.84,10,0.2,4.42,2.03,Houston
28,59,Female,7.74,6.16,24,1.36,2.77,4.63,New York
29,45,Male,4.29,1.58,8,0.03,2.67,3.55,Houston
30,33,Female,11.29,4.61,14,4.89,0.98,2.09,New York
31,32,Female,11.42,11.62,17,4.83,0.83,2.59,Chicago
32,20,Male,7.88,4.7,27,1.98,4.58,0.42,New York
33,54,Female,9.62,11.64,10,3.64,1.64,4.92,Phoenix
34,24,Female,7.73,7.91,6,1.73,1.86,3.33,Houston
35,38,Female,6.33,12.44,17,3.36,3.8,1.43,Phoenix
36,26,Male,8.27,8.47,22,4.03,1.69,2.93,Chicago
37,56,Male,7.08,1.39,27,4.73,4.76,0.55,Houston
38,35,Male,7.57,9.78,19,2.0,3.69,4.83,Chicago
39,21,Female,9.62,1.58,15,3.92,2.99,0.87,Phoenix
40,42,Female,6.29,6.86,20,1.33,4.4,3.24,Chicago
41,31,Male,1.45,13.08,4,4.95,0.25,1.23,Houston
42,26,Female,2.8,3.15,15,0.13,1.29,3.59,Houston
43,43,Female,5.82,6.07,15,3.02,2.33,3.88,Chicago
44,19,Female,8.97,10.49,24,3.3,1.13,3.37,Houston
45,37,Female,7.53,12.47,17,3.44,3.72,3.07,Houston
46,45,Female,8.15,9.72,22,0.6,4.6,4.46,Chicago
47,24,Male,6.27,4.36,29,4.69,2.12,0.39,Phoenix
48,25,Female,7.77,9.77,12,0.91,1.71,1.65,Houston
49,52,Male,4.62,4.86,5,3.11,4.81,1.24,Houston
50,31,Female,6.17,10.34,21,1.11,2.22,4.94,Houston
51,34,Male,9.19,13.4,5,1.54,2.45,1.95,Houston
52,53,Female,10.59,10.38,24,2.73,1.76,3.66,Chicago
